PLAYER,TEAM,DATE,MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
Kentavious Caldwell-Pope,LAL,04/07/2019,LAL vs. UTA,W,42,32,13,22,59.1,2,8,25,4,6,66.7,2,4,6,6,1,0,3,1,7
Giannis Antetokounmpo,MIL,04/07/2019,MIL vs. ATL,W,25,30,10,15,66.7,2,5,40,8,12,66.7,3,6,9,3,1,3,1,0,16
Mario Hezonja,NYK,04/07/2019,NYK vs. WAS,W,36,30,12,21,57.1,3,6,50,3,4,75,2,4,6,5,2,0,5,2,-7
Damian Lillard,POR,04/07/2019,POR vs. DEN,W,38,30,9,19,47.4,5,11,45.5,7,7,100,1,5,6,5,0,0,1,1,11
Ian Clark,NOP,04/07/2019,NOP @ SAC,W,36,31,11,21,52.4,7,15,46.7,2,3,66.7,2,2,4,3,2,2,1,2,5
Kemba Walker,CHA,04/07/2019,CHA @ DET,W,41,31,11,29,37.9,3,11,27.3,6,7,85.7,1,7,8,7,1,0,1,2,16
Alex Len,ATL,04/07/2019,ATL @ MIL,L,34,33,13,23,56.5,6,12,50,1,7,14.3,2,6,8,4,0,2,1,4,-5
Karl-Anthony Towns,MIN,04/07/2019,MIN vs. OKC,L,33,35,11,18,61.1,0,1,0,13,14,92.9,2,5,7,2,2,1,5,4,3
James Harden,HOU,04/07/2019,HOU vs. PHX,W,29,30,10,14,71.4,5,6,83.3,5,7,71.4,0,13,13,9,2,0,6,3,39
Justin Holiday,MEM,04/07/2019,MEM vs. DAL,L,42,30,9,20,45,6,11,54.5,6,6,100,1,4,5,2,2,0,1,4,17
Eric Bledsoe,MIL,04/06/2019,MIL vs. BKN,L,33,33,12,17,70.6,5,6,83.3,4,7,57.1,2,2,4,11,2,1,4,2,-9
Alex Caruso,LAL,04/05/2019,LAL @ LAC,W,38,32,10,19,52.6,5,7,71.4,7,7,100,2,8,10,5,2,1,3,2,2
Blake Griffin,DET,04/05/2019,DET @ OKC,L,35,45,11,20,55,9,14,64.3,14,16,87.5,0,7,7,3,2,0,1,0,-11
Stephen Curry,GSW,04/05/2019,GSW vs. CLE,W,36,40,12,21,57.1,9,12,75,7,7,100,1,5,6,7,0,1,4,1,5
Josh Jackson,PHX,04/05/2019,PHX vs. NOP,W,46,35,15,29,51.7,5,8,62.5,0,0,-0,1,8,9,5,2,0,0,3,12
Julius Randle,NOP,04/05/2019,NOP @ PHX,L,38,31,13,24,54.2,0,2,0,5,11,45.5,6,8,14,3,0,0,5,2,-14
Paul George,OKC,04/05/2019,OKC vs. DET,W,36,30,11,24,45.8,4,7,57.1,4,4,100,2,6,8,4,2,0,4,1,5
Giannis Antetokounmpo,MIL,04/04/2019,MIL @ PHI,W,35,45,13,22,59.1,3,7,42.9,16,21,76.2,0,13,13,6,0,5,0,2,9
Joel Embiid,PHI,04/04/2019,PHI vs. MIL,L,37,34,12,31,38.7,3,9,33.3,7,10,70,3,10,13,13,2,3,3,3,0
JJ Redick,PHI,04/03/2019,PHI @ ATL,L,35,30,10,22,45.5,6,13,46.2,4,7,57.1,1,1,2,3,0,0,0,1,0
Julius Randle,NOP,04/03/2019,NOP vs. CHA,L,34,34,12,19,63.2,3,5,60,7,8,87.5,1,10,11,3,2,1,4,4,0
Kemba Walker,CHA,04/03/2019,CHA @ NOP,W,35,32,9,17,52.9,2,5,40,12,13,92.3,0,3,3,7,2,0,4,0,3
Trae Young,ATL,04/03/2019,ATL vs. PHI,W,33,33,12,18,66.7,2,6,33.3,7,7,100,2,5,7,12,1,0,2,4,6
James Harden,HOU,04/03/2019,HOU @ LAC,W,30,31,9,15,60,3,7,42.9,10,12,83.3,1,6,7,7,0,0,6,3,16
James Harden,HOU,04/02/2019,HOU @ SAC,W,29,36,12,19,63.2,7,12,58.3,5,6,83.3,0,3,3,10,1,0,2,2,29
Goran Dragic,MIA,04/01/2019,MIA @ BOS,L,39,30,12,20,60,3,9,33.3,3,3,100,0,1,1,5,5,0,3,3,-3
Kemba Walker,CHA,04/01/2019,CHA @ UTA,L,37,47,15,28,53.6,4,8,50,13,15,86.7,0,5,5,3,0,0,3,1,-15
Jonas Valanciunas,MEM,03/30/2019,MEM @ PHX,W,34,34,16,28,57.1,0,1,0,2,2,100,11,9,20,5,2,2,3,3,2
Devin Booker,PHX,03/30/2019,PHX vs. MEM,L,43,48,19,29,65.5,3,6,50,7,8,87.5,1,2,3,11,0,0,6,3,1
Mike Conley,MEM,03/30/2019,MEM @ PHX,W,38,33,10,19,52.6,2,6,33.3,11,14,78.6,0,4,4,5,2,0,1,3,20
James Harden,HOU,03/30/2019,HOU vs. SAC,W,38,50,13,31,41.9,7,23,30.4,17,18,94.4,1,10,11,10,0,0,3,1,17
Donovan Mitchell,UTA,03/29/2019,UTA vs. WAS,W,38,35,13,23,56.5,3,5,60,6,6,100,1,4,5,5,0,1,5,2,-4
Damian Lillard,POR,03/29/2019,POR @ ATL,W,32,36,13,25,52,4,10,40,6,6,100,0,3,3,7,0,1,2,1,18
Stephen Curry,GSW,03/29/2019,GSW @ MIN,L,42,37,13,25,52,11,19,57.9,0,0,-0,0,3,3,5,2,0,2,2,6
Kyrie Irving,BOS,03/29/2019,BOS vs. IND,W,35,30,11,22,50,3,8,37.5,5,5,100,0,2,2,5,3,0,1,3,15
Bradley Beal,WAS,03/29/2019,WAS @ UTA,L,39,34,13,25,52,2,7,28.6,6,10,60,3,1,4,6,2,0,3,1,7
Pascal Siakam,TOR,03/28/2019,TOR @ NYK,W,31,31,11,19,57.9,2,6,33.3,7,8,87.5,2,3,5,5,1,1,0,4,31
Joel Embiid,PHI,03/28/2019,PHI vs. BKN,W,28,39,12,20,60,3,4,75,12,16,75,3,10,13,6,3,1,2,3,14
