Team1,T1_OR5,T1_DR5,Team2,T2_OR5,T2_DR5,Spread,TScore
BOS,111.48,114,MEM,103.06,104.58,9,215
BOS,107.98,109.6,HOU,111.56,105.52,-14,240
BOS,110.42,109.42,PHI,116.58,109.54,7,235
BOS,109.52,110.5,CHA,108.02,108.46,16,222
BOS,110.94,106.5,MIL,108.88,103.88,-13,227
BOS,118,100.22,PHX,106.6,105.9,-8,214
BOS,123.06,98.5,DET,103.36,112.76,-9,217
BOS,122.76,100.3,ATL,103.18,111.26,21,237
BOS,125.52,97.56,WAS,109.16,107.54,5,255
BOS,127.98,99.4,NOP,116.98,110.44,13,213
BOS,120.9,106.08,CHI,99.98,107.98,56,210
BOS,117.54,104.4,NYK,105.78,111.02,28,228
BOS,115.14,105.54,MIN,113.22,98.86,9,227
BOS,110.92,108.9,CLE,110.9,112.56,33,223
BOS,103.78,107.48,NOP,116.68,115.64,17,231
BOS,104.72,105.32,DAL,107.68,97.6,-9,217
BOS,104.56,103.12,ATL,97.96,112.68,18,210
BOS,102.98,100.8,NYK,107,121.04,-8,226
BOS,104.26,102.7,CHA,106.1,107.6,-5,229
BOS,107.44,102.28,UTA,102,107.36,-12,184
BOS,107.34,105.1,TOR,113.64,109.9,7,239
BOS,106.82,110.22,CHI,96.08,100.38,29,193
BOS,110.38,111.98,POR,115.74,102.88,-6,194
BOS,107.5,107.52,UTA,109.28,114.64,-8,238
BOS,107.78,105.14,PHX,96.64,109.76,7,225
BOS,105.52,100.24,DEN,110.72,103.54,-8,222
BOS,103.64,98.38,IND,115.16,108.54,-1,203
BOS,100.7,95.8,MIL,113.86,96.42,4,230
BOS,100.52,98.02,DET,108.68,109.86,3,213
BOS,99.14,96.82,DET,114.22,114.62,20,198
CHA,116.66,108.02,ORL,118.94,110.12,-8,236
CHA,108.06,115.18,CLE,106.4,122.3,27,221
CHA,108.14,121.28,DET,105.74,107.92,13,195
CHA,107.08,119.02,TOR,116.14,100,2,224
CHA,109.74,122.16,NOP,100.04,115.76,6,224
CHA,114.34,123.34,UTA,116.46,100.62,-9,213
CHA,117.92,115.68,GSW,114.4,111.4,-47,227
CHA,117.04,113.2,LAL,103.04,105.64,-14,244
CHA,110.8,112.54,SAS,110.84,107.4,9,241
CHA,109,109.8,TOR,112.82,103.88,1,229
CHA,105.84,110.48,BOS,113.84,118.02,7,241
CHA,106.04,115.1,MIN,106.6,118.64,7,219
CHA,106.08,113.68,PHI,109.08,104.44,-4,232
CHA,107.48,112.4,MIA,109.42,105.2,-18,168
CHA,105.88,114.94,WAS,115.22,110.84,6,226
CHA,108.36,112.84,HOU,113.38,104.74,-12,224
CHA,107.96,110.56,MIL,113.44,110.68,-17,245
CHA,107.12,111.86,WAS,116.26,113.1,1,223
CHA,112.24,116.1,MIA,119.5,114.78,-7,175
CHA,113.84,112.54,POR,115.28,106.6,-10,226
CHA,107.7,116.72,BKN,107.8,107.3,11,235
CHA,106.18,116.56,HOU,115.24,111.82,-5,231
CHA,110.2,116.84,GSW,113.44,116.84,-11,231
CHA,105.98,113.44,BKN,112.12,116.76,-2,232
CHA,106.24,117.06,WAS,114.88,118.32,13,233
CHA,115.14,116.24,ORL,116.04,102.92,-38,216
CHA,116.66,113.7,IND,113.78,95.98,-9,189
CHA,110.44,116.5,ATL,113.68,121.84,9,249
CHA,112.92,116.08,DAL,113.24,105.52,-6,192
CHA,108.32,112.46,LAC,110.74,110.8,-2,232
CHA,106.54,110.12,CHI,104.14,107.6,7,243
CHA,103.8,113.9,MEM,103.2,105.94,8,192
CHA,111.22,109.88,BOS,111.42,103.3,-32,220
CHA,112.76,109.5,NYK,103.8,111.98,9,193
CHA,116.88,108.74,MIL,115.04,98.5,-9,207
CHA,111.38,107.2,MEM,98.9,115.5,11,225
CHA,111.98,108.86,IND,111.6,110,-25,215
CHA,106.36,111.18,PHX,102.1,107.62,20,250
CHA,106.44,113.92,SAC,107.9,100.88,19,209
CHA,105.9,118.76,SAS,111.12,107.32,15,201
CHA,102.94,121.94,SAC,111.84,109.48,-7,201
CHA,108.34,116.48,POR,111.86,104.8,-31,223
CHA,111.42,116.38,LAC,108.64,105.54,-19,237
CHA,109.38,112.38,PHX,109.3,120.72,6,232
CHA,109.12,110.06,DEN,114.58,112.5,-13,233
CHA,113.72,110.2,DAL,107.26,111.24,-38,206
CHA,109.8,108.5,ORL,106.52,107.9,25,225
CHA,109,104.34,WAS,103.38,112.8,-4,256
CHA,106.86,110.56,BKN,109.12,107.24,13,187
CHA,107.22,111.16,BKN,114.84,110.2,-2,266
CHA,108.02,108.46,BOS,109.52,110.5,-16,222
CHA,109.82,110.74,DET,109.54,109.94,12,184
CHA,109.22,111.52,CLE,102.18,111.42,11,209
CHA,111.32,111.08,LAL,112.86,112.26,-28,228
CHA,109.54,111.06,NYK,104.42,115.18,-2,250
CHA,110.38,113.5,DET,97.96,112.08,1,215
CHA,107.5,110.3,NYK,104.12,115.72,12,226
CHA,106.22,109.86,DEN,112.42,102.62,6,220
CHA,109.08,109.98,MIN,113.02,100.16,-17,225
CHA,108.52,108.26,NOP,107.5,111.22,-10,228
CHA,111.82,106.68,UTA,99.52,104.42,-8,230
CHA,114.76,111.28,ATL,106.08,113.32,14,202
CHA,113.14,110.6,MIL,118.62,105.02,3,217
CHA,107.84,109.82,ATL,95.48,112.62,-1,247
CHA,110.94,109.9,OKC,114.06,100.14,-5,213
CHA,107.92,110.54,IND,105.74,97.94,18,236
CHA,106.1,107.6,BOS,104.26,102.7,5,229
CHA,111.66,106.28,PHI,112.62,110.94,-3,241
CHA,114.08,105.2,CLE,98,111.7,-24,202
CHA,116.04,106.56,DET,103.36,102.44,10,216
CHA,113.48,104.22,PHI,102.74,105.64,-1,265
CHA,119.1,106.4,ATL,98.54,113.56,11,215
CHA,116.54,110.8,CLE,107.66,115.06,32,220
CHA,116.96,113.72,OKC,102.98,105.02,-4,218
CHA,114.3,113.08,MIA,110.24,105.3,12,238
CHA,116.56,109,PHI,107.5,110.64,-2,208
CHA,111.36,109.52,CHI,110.3,120.7,29,241
CHI,101.5,114.04,PHI,107.1,113.96,-16,234
CHI,105.12,119.9,NYK,103.28,109.96,-10,182
CHI,104.94,117.12,PHI,111.38,114.1,-20,212
CHI,99.8,118.2,WAS,109.48,113.24,1,229
CHI,100.62,116.68,NYK,102,119.18,-8,218
CHI,104.3,112.24,TOR,113.02,106.7,-23,225
CHI,102.76,112.12,POR,116.9,112.7,-20,216
CHI,106.86,116.08,TOR,116.6,110.38,-9,215
CHI,111.28,117.64,UTA,118.76,103.74,-31,197
CHI,110.62,122.36,WAS,110.04,110.46,6,246
